state,DIOsurpress,DIOtransmit,epsilon,k,listen_period_ms,listen_period_s,pfree
1,1,0,1,1,1048.074785,1.048074785,0.333333333
2,1,1,0.802,3,4476.399729,4.476399729,0.6
3,1,2,0.604,4,5788.592058,5.788592058,0.714285714
4,1,3,0.406,4,1589.22623,1.58922623,0.727272727
5,1,4,0.208,3,1346.319777,1.346319777,1
6,1,5,0.01,3,3898.03977,3.89803977,1
7,1,6,0.01,3,7506.935899,7.506935899,0.875
8,1,7,0.01,3,15183.22297,15.18322297,0.882352941
9,1,8,0.01,3,1232.866989,1.232866989,0.666666667
10,1,9,0.01,3,1154.475948,1.154475948,0.833333333
11,1,10,0.01,3,1286.74639,1.28674639,0.8
12,1,11,0.01,3,267.7176777,0.267717678,0.789473684
13,2,11,0.01,3,29714.89758,29.71489758,0.657894737
14,3,11,0.01,3,75460.45735,75.46045735,0.818181818
15,3,12,0.01,4,2672.644958,2.672644958,0.666666667
16,3,13,0.01,4,2209.899532,2.209899532,1
17,3,14,0.01,4,3955.030946,3.955030946,0.7
18,3,15,0.01,4,2184.370148,2.184370148,0.956521739
19,4,15,0.01,4,21189.29751,21.18929751,0.894736842
20,5,15,0.01,4,40636.35223,40.63635223,0.865853659
21,6,15,0.01,4,157698.4479,157.6984479,0.831395349
22,7,15,0.01,4,312483.343,312.483343,0.839779006
23,7,16,0.01,3,1022.163816,1.022163816,1
24,7,17,0.01,3,1440.926937,1.440926937,0.666666667
25,7,18,0.01,3,4133.887975,4.133887975,0.769230769
26,7,19,0.01,3,9997.444473,9.997444473,0.88
27,8,19,0.01,3,28315.51198,28.31551198,0.804347826
28,9,19,0.01,3,27915.85492,27.91585492,0.81443299
29,9,20,0.01,3,933.8165355,0.933816536,0.5
30,9,21,0.01,3,4254.738526,4.254738526,0.75
31,9,22,0.01,3,351.4814424,0.351481442,0.846153846
32,9,23,0.01,3,11799.18187,11.79918187,0.791666667
33,10,23,0.01,3,46202.71874,46.20271874,0.857142857
34,11,23,0.01,3,37287.12274,37.28712274,0.821052632
