05:17:13 VERBOSE loading logging configuration: config/logging.conf
05:17:13 INFO initializing OV Server with options:
	- log files directory     = /Users/dzakyzf/Library/Logs/openvisualizer
	- data files directory    = /Users/dzakyzf/Library/Application Support/openvisualizer
	- host address server     = localhost
	- port number server      = 9000
	- firmware path           = /Users/dzakyzf/lain/openwsnmac/openwsn-fw
	- use page zero           = False
	- use VCD logger          = False
	- baudrates to probe      = [115200]
05:17:17 SUCCESS m3-10.saclay.iot-lab.info Ok.
05:17:21 SUCCESS m3-11.saclay.iot-lab.info Ok.
05:17:25 SUCCESS m3-12.saclay.iot-lab.info Ok.
05:17:25 SUCCESS discovered following iotlab-motes: ['m3-10.saclay.iot-lab.info', 'm3-11.saclay.iot-lab.info', 'm3-12.saclay.iot-lab.info']
05:17:25 INFO extracting firmware definitions.
05:17:25 VERBOSE extracting firmware component names
05:17:25 VERBOSE extracting firmware log descriptions.
05:17:25 VERBOSE extracting 6top return codes.
05:17:25 VERBOSE extracting 6top states.
05:17:25 SUCCESS connected to broker (argus.paris.inria.fr) for mote on port: m3-10.saclay.iot-lab.info
05:17:25 ERROR Unknown error: #6
05:17:26 SUCCESS connected to broker (argus.paris.inria.fr) for mote on port: m3-11.saclay.iot-lab.info
05:17:26 ERROR Unknown error: #6
05:17:26 INFO starting RPC server
05:17:26 SUCCESS connected to broker (argus.paris.inria.fr) for mote on port: m3-12.saclay.iot-lab.info
05:17:26 ERROR Unknown error: #6
05:17:26 ERROR Unknown error: #6
05:17:27 ERROR Unknown error: #6
05:17:27 ERROR Unknown error: #6
05:17:27 ERROR Unknown error: #6
05:17:27 ERROR Unknown error: #6
05:17:28 ERROR Unknown error: #6
05:17:28 ERROR Unknown error: #6
05:17:28 ERROR Unknown error: #6
05:17:29 ERROR Unknown error: #6
05:17:29 ERROR Unknown error: #6
05:17:29 ERROR Unknown error: #6
05:17:30 ERROR Unknown error: #6
05:17:30 ERROR Unknown error: #6
05:17:30 ERROR Unknown error: #6
05:17:31 ERROR Unknown error: #6
05:17:31 ERROR Unknown error: #6
05:17:31 ERROR Unknown error: #6
05:17:32 ERROR Unknown error: #6
05:17:32 ERROR Unknown error: #6
05:17:32 ERROR Unknown error: #6
05:17:33 ERROR Unknown error: #6
05:17:33 ERROR Unknown error: #6
05:17:33 ERROR Unknown error: #6
05:17:34 ERROR Unknown error: #6
05:17:34 ERROR Unknown error: #6
05:17:34 ERROR Unknown error: #6
05:17:35 ERROR Unknown error: #6
05:17:35 ERROR Unknown error: #6
05:17:35 ERROR Unknown error: #6
05:17:36 ERROR Unknown error: #6
05:17:36 ERROR Unknown error: #6
05:17:36 ERROR Unknown error: #6
05:17:37 ERROR Unknown error: #6
05:17:37 ERROR Unknown error: #6
05:17:37 ERROR Unknown error: #6
05:17:38 ERROR Unknown error: #6
05:17:38 ERROR Unknown error: #6
05:17:38 ERROR Unknown error: #6
05:17:39 ERROR Unknown error: #6
05:17:39 ERROR Unknown error: #6
05:17:39 ERROR Unknown error: #6
05:17:40 ERROR Unknown error: #6
05:17:40 ERROR Unknown error: #6
05:17:40 ERROR Unknown error: #6
05:17:41 ERROR Unknown error: #6
05:17:41 ERROR Unknown error: #6
05:17:41 ERROR Unknown error: #6
05:17:42 ERROR Unknown error: #6
05:17:42 ERROR Unknown error: #6
05:17:42 ERROR Unknown error: #6
05:17:43 ERROR Unknown error: #6
05:17:43 ERROR Unknown error: #6
05:17:43 ERROR Unknown error: #6
05:17:44 ERROR Unknown error: #6
05:17:44 ERROR Unknown error: #6
05:17:44 ERROR Unknown error: #6
05:17:45 ERROR Unknown error: #6
05:17:45 ERROR Unknown error: #6
05:17:45 ERROR Unknown error: #6
05:17:46 ERROR Unknown error: #6
05:17:46 ERROR Unknown error: #6
05:17:46 ERROR Unknown error: #6
05:17:47 ERROR Unknown error: #6
05:17:47 ERROR Unknown error: #6
05:17:47 ERROR Unknown error: #6
05:17:47 ERROR Unknown error: #6
05:17:48 ERROR Unknown error: #6
05:17:48 ERROR Unknown error: #6
05:17:48 ERROR Unknown error: #6
05:17:49 ERROR Unknown error: #6
05:17:49 ERROR Unknown error: #6
05:17:49 ERROR Unknown error: #6
05:17:50 ERROR Unknown error: #6
05:17:50 ERROR Unknown error: #6
05:17:50 ERROR Unknown error: #6
05:17:50 ERROR Unknown error: #6
05:17:51 ERROR Unknown error: #6
05:17:51 ERROR Unknown error: #6
05:17:51 ERROR Unknown error: #6
05:17:52 ERROR Unknown error: #6
05:17:52 ERROR Unknown error: #6
05:17:52 ERROR Unknown error: #6
05:17:52 ERROR Unknown error: #6
05:17:53 ERROR Unknown error: #6
05:17:53 ERROR Unknown error: #6
05:17:53 ERROR Unknown error: #6
05:17:54 ERROR Unknown error: #6
05:17:54 ERROR Unknown error: #6
05:17:54 ERROR Unknown error: #6
05:17:55 ERROR Unknown error: #6
05:17:55 ERROR Unknown error: #6
05:17:55 ERROR Unknown error: #6
05:17:56 ERROR Unknown error: #6
05:17:56 ERROR Unknown error: #6
05:17:56 ERROR Unknown error: #6
05:17:57 ERROR Unknown error: #6
05:17:57 ERROR Unknown error: #6
05:17:57 ERROR Unknown error: #6
05:17:58 ERROR Unknown error: #6
05:17:58 ERROR Unknown error: #6
05:17:58 ERROR Unknown error: #6
05:17:59 ERROR Unknown error: #6
05:17:59 ERROR Unknown error: #6
05:17:59 ERROR Unknown error: #6
05:18:00 ERROR Unknown error: #6
05:18:00 ERROR Unknown error: #6
05:18:00 ERROR Unknown error: #6
05:18:01 ERROR Unknown error: #6
05:18:01 ERROR Unknown error: #6
05:18:01 ERROR Unknown error: #6
05:18:02 ERROR Unknown error: #6
05:18:02 ERROR Unknown error: #6
05:18:02 ERROR Unknown error: #6
05:18:03 ERROR Unknown error: #6
05:18:03 ERROR Unknown error: #6
05:18:03 ERROR Unknown error: #6
05:18:04 ERROR Unknown error: #6
05:18:04 ERROR Unknown error: #6
05:18:04 ERROR Unknown error: #6
05:18:05 ERROR Unknown error: #6
05:18:05 ERROR Unknown error: #6
05:18:05 ERROR Unknown error: #6
05:18:07 ERROR Unknown error: #6
05:18:07 ERROR Unknown error: #6
05:18:07 ERROR Unknown error: #6
05:18:07 ERROR Unknown error: #6
05:18:07 ERROR Unknown error: #6
05:18:07 ERROR Unknown error: #6
05:18:08 ERROR Unknown error: #6
