src,dst,channel,mean_rssi,pdr,tx_count,,,,,,,
0,18,11,-69.9,1,100,,,,,,,
0,7,11,-70.74,1,100,,,,,,,
0,42,11,-80.06,0.6,100,,,,,,,
0,28,11,-68.46,1,100,,,imin,,m,pow,i
0,12,11,-71.84,0.6,100,,,4,,1,1,4
0,48,11,-70.13,1,100,,,,,2,2,8
0,35,11,-62.39,1,100,,,,,3,4,16
1,46,11,-80.43,1,100,,,,,4,8,32
1,47,11,-75.17,0.99,100,,,,,5,16,64
1,5,11,-79.96,1,100,,,,,6,32,128
1,30,11,-64.75,1,100,,,,,7,64,256
1,26,11,-53.39,1,100,,,,,8,128,512
1,22,11,-81.71,0.99,100,,,,,,,
1,6,11,-86.24,0.43,100,,,,,,,
1,14,11,-88.14,0.14,100,,,,,,,
1,19,11,-90.31,0.02,100,,,,,,,
1,21,11,-91,0.01,100,,,,,,,
2,27,11,-44.39,1,100,,,,,,,
2,47,11,-78.89,0.93,100,,,,,,,
2,15,11,-59.39,1,100,,,,,,,
2,21,11,-67.71,1,100,,,,,,,
2,24,11,-68.11,1,100,,,,,,,
2,3,11,-88.63,0.09,100,,,,,,,
3,9,11,-83.69,0.94,100,,,,,,,
3,4,11,-74.39,1,100,,,,,,,
3,24,11,-49.15,1,100,,,,,,,
3,32,11,-69.41,1,100,,,,,,,
3,27,11,-80.49,0.94,100,,,,,,,
3,2,11,-91,0.01,100,,,,,,,
4,32,11,-57.4,1,100,,,,,,,
4,9,11,-48.54,1,100,,,,,,,
4,24,11,-79.45,0.97,100,,,,,,,
4,23,11,-79.22,1,100,,,,,,,
4,3,11,-74.41,0.97,100,,,,,,,
5,40,11,-59.43,1,100,,,,,,,
5,31,11,-47.39,1,100,,,,,,,
5,45,11,-80.4,1,100,,,,,,,
5,47,11,-74.4,0.99,100,,,,,,,
5,44,11,-78.41,1,100,,,,,,,
5,19,11,-63.67,1,100,,,,,,,
5,41,11,-82.91,0.99,100,,,,,,,
5,26,11,-74.39,1,100,,,,,,,
5,16,11,-53.39,1,100,,,,,,,
5,30,11,-89.05,0.07,100,,,,,,,
5,6,11,-86.15,0.47,100,,,,,,,
5,1,11,-80.48,1,100,,,,,,,
5,46,11,-71.39,1,100,,,,,,,
5,11,11,-84.46,0.68,100,,,,,,,
5,34,11,-68.44,1,100,,,,,,,
5,22,11,-88.7,0.1,100,,,,,,,
6,14,11,-62.41,1,100,,,,,,,
6,22,11,-65.39,1,100,,,,,,,
6,1,11,-86.91,0.51,100,,,,,,,
6,21,11,-77.44,0.95,100,,,,,,,
6,5,11,-85.65,0.9,100,,,,,,,
6,47,11,-47.39,1,100,,,,,,,
6,43,11,-81.32,0.91,100,,,,,,,
6,26,11,-76.79,1,100,,,,,,,
6,30,11,-88.87,0.05,100,,,,,,,
7,17,11,-66.36,1,100,,,,,,,
7,12,11,-83.73,0.69,100,,,,,,,
7,48,11,-47.39,1,100,,,,,,,
7,18,11,-68.5,1,100,,,,,,,
7,0,11,-71.3,1,100,,,,,,,
7,20,11,-59.39,1,100,,,,,,,
7,11,11,-80.38,0.99,100,,,,,,,
8,29,11,-72.41,1,100,,,,,,,
8,38,11,-60.39,1,100,,,,,,,
8,25,11,-78.19,1,100,,,,,,,
9,32,11,-65.93,1,100,,,,,,,
9,4,11,-47.39,1,100,,,,,,,
9,23,11,-65.39,1,100,,,,,,,
9,3,11,-83.14,0.58,100,,,,,,,
10,39,11,-77.77,1,100,,,,,,,
10,29,11,-75.36,1,100,,,,,,,
10,36,11,-47.39,1,100,,,,,,,
10,25,11,-65.39,1,100,,,,,,,
11,17,11,-60.09,1,100,,,,,,,
11,7,11,-81.41,1,100,,,,,,,
11,41,11,-71.39,1,100,,,,,,,
11,45,11,-81.05,1,100,,,,,,,
11,20,11,-84.51,1,100,,,,,,,
11,40,11,-65.39,1,100,,,,,,,
11,5,11,-85.31,0.95,100,,,,,,,
11,44,11,-57.42,1,100,,,,,,,
11,31,11,-85.66,0.77,100,,,,,,,
12,42,11,-65.36,1,100,,,,,,,
12,7,11,-84.32,0.98,100,,,,,,,
12,0,11,-72.36,1,100,,,,,,,
12,37,11,-86.43,0.42,100,,,,,,,
12,28,11,-56.39,1,100,,,,,,,
12,48,11,-75.47,1,100,,,,,,,
12,49,11,-84.35,0.94,100,,,,,,,
12,35,11,-67.37,1,100,,,,,,,
13,43,11,-40.3,1,100,,,,,,,
13,49,11,-81.85,0.92,100,,,,,,,
13,14,11,-65.39,1,100,,,,,,,
13,33,11,-57.39,1,100,,,,,,,
13,22,11,-91,0.01,100,,,,,,,
14,47,11,-63.39,1,100,,,,,,,
14,21,11,-84.77,0.78,100,,,,,,,
14,6,11,-62.39,1,100,,,,,,,
14,1,11,-89.05,0.07,100,,,,,,,
14,26,11,-84.99,0.73,100,,,,,,,
